block,id,count,val,x1,y1,x,y,form,text
intro,opto,1,1,1808,949,0.44140625,0.4633789063,text,optometrist
intro,opto,1,1,1808,949,0.44140625,0.4633789063,poly,
intro,opto,1,1,1952,953,0.4765625,0.4653320313,poly,
intro,opto,1,1,1952,971,0.4765625,0.4741210938,poly,
intro,opto,1,1,1808,973,0.44140625,0.4750976563,poly,
intro,opto,1,1,1808,949,0.44140625,0.4633789063,poly,
intro,street,1,1,1591,966,0.3884277344,0.4716796875,text,51st
intro,street,1,1,1591,966,0.3884277344,0.4716796875,poly,
intro,street,1,1,1622,966,0.3959960938,0.4716796875,poly,
intro,street,1,1,1622,979,0.3959960938,0.4780273438,poly,
intro,street,1,1,1591,979,0.3884277344,0.4780273438,poly,
intro,street,1,1,1591,966,0.3884277344,0.4716796875,poly,
intro,one,1,1,1558,1012,0.3803710938,0.494140625,text,one way
intro,one,1,1,1558,984,0.3803710938,0.48046875,poly,
intro,one,1,1,1608,984,0.392578125,0.48046875,poly,
intro,one,1,1,1608,999,0.392578125,0.4877929688,poly,
intro,one,1,1,1558,999,0.3803710938,0.4877929688,poly,
intro,one,1,1,1558,984,0.3803710938,0.48046875,poly,
intro,abduct,2,1,1867,1064,0.4558105469,0.51953125,text,abduction
intro,abduct,2,1,1867,1064,0.4558105469,0.51953125,poly,
intro,abduct,2,1,1927,1064,0.4704589844,0.51953125,poly,
intro,abduct,2,1,1927,1082,0.4704589844,0.5283203125,poly,
intro,abduct,2,1,1867,1082,0.4558105469,0.5283203125,poly,
intro,abduct,2,1,1867,1064,0.4558105469,0.51953125,poly,
intro,furniture,3,1,1118,912,0.2729492188,0.4453125,text,furniture
intro,furniture,3,1,1118,912,0.2729492188,0.4453125,poly,
intro,furniture,3,1,1179,912,0.2878417969,0.4453125,poly,
intro,furniture,3,1,1179,944,0.2878417969,0.4609375,poly,
intro,furniture,3,1,1118,944,0.2729492188,0.4609375,poly,
intro,furniture,3,1,1118,912,0.2729492188,0.4453125,poly,
intro,warehouse,4,1,1241,935,0.3029785156,0.4565429688,text,warehouse
intro,warehouse,4,1,1241,935,0.3029785156,0.4565429688,poly,
intro,warehouse,4,1,1278,935,0.3120117188,0.4565429688,poly,
intro,warehouse,4,1,1278,961,0.3120117188,0.4692382813,poly,
intro,warehouse,4,1,1241,961,0.3029785156,0.4692382813,poly,
intro,warehouse,4,1,1241,935,0.3029785156,0.4565429688,poly,
intro,optima,5,1,1023,903,0.2497558594,0.4409179688,text,optima
intro,optima,5,1,1023,903,0.2497558594,0.4409179688,poly,
intro,optima,5,1,1064,903,0.259765625,0.4409179688,poly,
