term,link,text
fuhgeddaboudit,bYudE84yY6HNNbAy5,"BQE, Verrazzano bridge"
fuhgeddaboudit,fPHRL6mHCtoCftV56,"Belt Parkway, Bay Ridge"
fuhgeddaboudit,T1bsX9mAN8kWm9AX7,"104-9 109th St, Queens"
fuhgeddaboudit,UaEH9w7C2BDDvvQf8,"Belt Parkway, East New York"
fuhgeddaboudit,2ZPFZybdpGy3tY9W8,"11-12 44th Dr, Queens"
fuhgeddaboudit,xYZTVZk1ab8Mkhd26,"531 Atlantic Ave, Brooklyn"
fuhgeddaboudit,Ey7CNC7w4f21iEMw6,"808 3rd Ave, Brooklyn"
acab,tACQscTR8La9wPe78,E. Houston and Lafayette
acab,5VFuH3PUaB8YMjse6,E. Houston and Ludlow
acab,WMKXjBuNJikAaYjEA,641 W. 50th
acab,VGoUAaadMWtPCJjAA,Atlantic Ave. and Utica Ave.
acab,m7kC5vzaF9J8QgxF7,Flushing Ave. and Waverly
acab,Xgk169yQssheSeSS6,"Moffat St., Brooklyn"
acab,gYAjF1hBcz1LFLvL8,Park Ave S and E 20th St.
acab,TKF51k8nvygRNYmX9,15th St. and Prospect Park
acab,vNSumJpdwndaAZY29,Grand and Driggs
acab,uJ6UMQmQiv814MGQ9,"Broadway and Ellery, Brooklyn"
acab,SCHTQi2QbWKbHaiR9,Great Jones and Lafayette
acab,3E7bR6D1W7jZLGYp8,"Ingraham and Varick, Brooklyn"
acab,TEnJ5DpiNbR4MnzTA,"Union Ave. and Harrison Ave., Brooklyn"
acab,shuc6r7yxsjRehZGA,"Third Ave and E 189th St, Bronx"
acab,wSGrArqrDk9QojgJ9,"Atlantic Ave and Clinton Ave., Brooklyn"
covid,hkg75CK8P45j5g1b8,57th St. and 6th Ave.
covid,y5vsN1nqLYZtCVym9,E 51st St. and 1st Ave.
covid,gHMo7pqtSiRqjCA7A,Union Square
covid,gHMo7pqtSiRqjCA7A,E. 60th St. and 2nd Ave.
covid,vWPF1daXU3m2o3UT7,W. 125th St. and Amsterdam Ave.
covid,MFHJm8T5WLa6KcJm7,W. 123rd St. and Amsterdam Ave.
covid,ZVboANyzMxejNUdRA,E. 18th St. and Park Ave.
covid,Ge9SxWfRjQjvBt1j8,E. 86th St. and Park Ave.
covid,Lz766e9AiucoATzw8,"Broadway and Fulton, Manhattan"
covid,zz1gCJGuX3Ny54UM7,"57-18 61st St., Queens"
covid,cpwwJ2Bo5JHyDQBk7,"38th St. and 12 Ave., Brooklyn"
covid,aMv36rZ9A6JeFFkR7,"Ave U and East 19th St., Brooklyn"
covid,8WqeAXPfm3GiznEcA,"1 Bowne St, City Island, Bronx"
fuck,6FGrS4FjjTS1x7BF7,"N. 4th and Roebling, Brooklyn"
fuck,uB9mWEF5bH8m4bJy8,Irving Ave. and Putnum Ave.
fuck,uLkv47GNbsHEihKu5,Driggs Ave. and N. 10th St.
fuck,skE7PkJZ4Uux3cHs7,"Dekalb Ave. and Broadway, Brooklyn"
fuck,A1frDkJH6Z1vG8tN8,"48th St. and 2nd Ave., Brooklyn"
fuck,XGXZmNRTdY16suu29,Ingraham St. and Knickerbocker Ave.
fuck,TRYChqYtuUfZe6UPA,Bay 26th St. and 86th St.
fuck,ZEga6j46GNjqQg296,"Siegel St. and White St., Brooklyn"
fuck,RZC7Wxs4b8yCwXhL9,"W 10th St. and Waverly Pl., West Village"
fuck,dc42oJLrRZw22bpt9,E Houston St. and Bowery
fuck,9PxqDG51fiDpJADQ9,Bleecker St. and Lafayette
fuck,5dCg76aFPxcscXwW7,Driggs Ave. and Manhattan Ave.
