term,count,rank,street,highlight
stop,1304417,1,1,
one way,1145477,2,1,
no,482811,3,,
enter,419849,4,1,
anytime,418534,5,1,
do not,416779,6,1,
parking,409678,7,1,
no standing,397351,8,1,
speed,370945,9,1,
no parking,310687,10,1,
only,298250,11,1,
limit,292067,12,1,
ahead,286576,13,1,
school,232811,14,1,
open,228737,15,,
atm,211704,16,,
exit,183533,17,1,
end,182011,18,1,
for,130516,19,,
bump,128795,20,1,
dead,128465,21,1,
city,126802,22,,
st,119110,23,1,
deli,118271,24,,
pharmacy,117266,25,,
traffic,115416,26,1,
service,112118,27,,
photo,104667,28,,
all,103182,29,,
available,101722,30,,
school bus,98749,31,,
nypd,96443,32,,
fedex,95875,33,,
restaurant,95370,34,,
lane,95162,35,1,
south,91254,36,1,
park,91072,37,1,
cash,90344,38,,
nyc,89931,39,,
except sunday,87331,40,1,
grocery,86606,41,,
north,85312,42,1,
west,84472,43,1,
enforced,84384,44,1,
east,83490,45,1,
road,81711,46,1,
center,81671,47,1,
shop,81519,48,,
truck,80566,49,1,
for rent,79880,50,,
here,77976,51,,
free,76997,52,,
new,76482,53,,
av,75448,54,1,
pizza,74178,55,,
post,72603,56,,
sale,70873,57,,
free delivery,70857,58,,
fedders,70687,59,,
subway,69906,60,,
driveway,66353,61,1,
bills,65016,62,,
entrance,64804,63,,
king,64671,64,,
auto,64639,65,1,
all way,64083,66,1,
police,63957,67,,
bus,62071,68,1,
route,61428,69,1,
laundromat,61032,70,,
cleaners,60619,71,,
bike lane,60592,72,1,
zone,60344,73,1,
new york,59787,74,,
monday  friday,59324,75,1,
for sale,58924,76,,
standing,58668,77,1,
jeep,57831,78,,
manhattan,57007,79,,
verizon,56990,80,,
chase,56890,81,,
office,55797,82,,
express,54768,83,,
rent,54713,84,,
food,54540,85,,
uhaul,54277,86,,
mph,54187,87,1,
broadway,53846,88,,
keep,52850,89,,
brooklyn,52018,90,,
mobil,51475,91,,
xing,50566,92,1,
signal,50386,93,,
car,50342,94,1,
caution,49036,95,,
shared,48993,96,,
warning,48923,97,,
thursday,48382,98,1,
avenue,48033,99,1,
work,47980,100,,
vehicles,47846,101,,
space,47222,102,,
friday,47176,103,,
right lane,47030,104,1,
inc,46051,105,,
nails,45856,106,,
ice,45764,107,,
trucks,45729,108,,
ave,45314,109,1,
bronx,45044,110,,
for lease,44981,111,,
tuesday,43941,112,,
red,43603,113,1,
queens,43505,114,,
closed,43396,115,,
metered,43382,116,,
welcome,43332,117,,
buses only,43332,118,1,
emergency,42904,119,,
local,42659,120,1,
mon,41652,121,,
store,41648,122,,
danger,41638,123,,
right,41613,124,,
furniture,40902,125,,
coffee,40654,126,,
wash,40629,127,,
monday,40050,128,,
citi bike,39933,129,,
ny,39541,130,,
green,39238,131,,
must,38907,132,1,
commercial,38603,133,,
penske,38253,134,,
market,38123,135,,
hours,38002,136,,
salon,37522,137,,
new york city bus,37470,138,,
repair,37235,139,,
bar,37225,140,,
passenger,37110,141,1,
bike route,36942,142,1,
now,36933,143,,
barber shop,36493,144,,
special,36203,145,,
cars,36145,146,1,
light,36081,147,1,
play,36042,148,,
block,35689,149,,
buses,35653,150,1,
car wash,35421,151,,
building,35312,152,,
24 hour,35261,153,,
construction,35032,154,,
phone,34875,155,,
cars only,34104,156,1,
com,33720,157,,
bank,33325,158,,
left lane,33207,159,1,
mcdonalds,33150,160,,
storage,32795,161,,
honda,32350,162,,
expwy,32171,163,,
tues,31937,164,,
insurance,31919,165,,
and,31915,166,,
bridge,31739,167,,
school days,31710,168,,
york,31624,169,,
donuts,31511,170,,
time,31315,171,,
go,31135,172,,
retail,31128,173,,
delivery,31118,174,,
gulf,31006,175,,
wrong,30582,176,,
here on,30565,177,,
turns,30068,178,,
no stopping,30014,179,,
yodock,29791,180,,
corp,29734,181,,
mobile,29693,182,,
active,29642,183,,
official,29544,184,,
left,29375,185,,
slow,29129,186,,
ryder,29076,187,,
clearance,28932,188,,
we deliver for you,28930,189,,
mon  fri,28903,190,,
beauty,28806,191,,
fri,28655,192,1,
passenger cars only,28652,193,1,
fresh,28473,194,,
services,28178,195,,
open 7 days,28141,196,,
notice,28105,197,,
24 hrs,27881,198,,
street,27790,199,1,
registered,27759,200,,
metro,27643,201,,
breakfast,27323,202,,
wwwuspscom,27224,203,,
clear,27067,204,,
top,26828,205,,
from,26769,206,,
apartments,26726,207,,
motor vehicle,26506,208,1,
citibank,26449,209,,
state of new york,26314,210,,
diesel,26294,211,,
thru,26250,212,1,
authorized,26210,213,,
citgo,25908,214,,
emergency exit,25780,215,,
area,25728,216,,
bakery,25559,217,,
operator,25491,218,,
24 hours,25400,219,,
your,25323,220,,
truck rental,25106,221,,
toyota,25004,222,,
fire,24971,223,,
deli grocery,24722,224,,
hour,24669,225,,
rentals,24465,226,,
boulevard,24293,227,,
permit,24233,228,,
sidewalk,24218,229,1,
pkwy,23953,230,1,
repair shop,23887,231,,
medical,23887,232,,
liquors,23764,233,,
real estate,23682,234,,
chicken,23650,235,,
ebt,23561,236,,
spa,23554,237,,
accessaride,23542,238,,
we buy,23469,239,,
tax,23390,240,,
dunkin,23374,241,,
beauty salon,23351,242,,
best,23349,243,,
vehicles only,23334,244,1,
grand,23028,245,,
care,22993,246,,
sanitation,22907,247,,
exit only,22871,248,1,
open 24 hours,22839,249,,
home,22610,250,,
any,22550,251,,
lotto,22461,252,,
call,22354,253,,
moving,22300,254,,
hardware,22245,255,,
please,21866,256,,
turn left,21816,257,1,
supermarket,21803,258,,
drive,21786,259,,
smoking,21762,260,,
hard hat,21702,261,,
speed checked,21631,262,1,
lease,21488,263,,
loading,21431,264,,
cafe,21373,265,,
830am  10am,21372,266,1,
hospital,21369,267,,
grill,21335,268,,
isuzu,21280,269,,
dentist,21264,270,,
discount,21261,271,,
ups,21229,272,,
del,21120,273,,
deliveries,21018,274,,
private,20851,275,,
barber,20840,276,,
ground,20832,277,,
lone,20813,278,,
1130am  1pm,20803,279,1,
bus lane,20730,280,1,
dental,20691,281,,
by radar,20679,282,,
dogle,20640,283,,
ambulance,20558,284,,
glass,20505,285,,
dont,20459,286,,
buy,20377,287,,
ne way,20375,288,1,
supply,20181,289,,
connection,20131,290,,
key food,20129,291,,
lunch,20109,292,,
security,20104,293,,
whitestone br,20087,294,,
gold,20076,295,,
dry,20064,296,,
you,19955,297,,
college,19806,298,,
two,19765,299,,
nail,19655,300,,
any time,19630,301,1,
popeyes,19544,302,,
staples,19487,303,,
houses,19398,304,,
kennedy airport,19332,305,,
wait,19099,306,,
detour,19079,307,1,
stof,18965,308,1,
budget,18908,309,,
sandwiches,18906,310,,
ale,18866,311,,
tel,18813,312,,
pilot,18781,313,,
off,18774,314,,
grand central pkwy,18688,315,,
interstate,18660,316,1,
star,18625,317,,
m p h,18561,318,1,
thurs,18545,319,,
beer,18497,320,,
auto repair,18455,321,,
unisex,18455,322,,
liberty,18414,323,,
cvs,18362,324,,
super,18333,325,,
deli  grocery,18306,326,,
active driveway,18206,327,,
health,18191,328,,
clean,18099,329,,
boost,18090,330,,
church,18063,331,,
intersection,18055,332,1,
saturday,17962,333,,
use,17953,334,,
hotel,17829,335,,
house,17789,336,,
property,17758,337,,
inspection station,17705,338,1,
public,17692,339,,
income tax,17590,340,,
left turn,17574,341,1,
wine,17525,342,,
open 24 hrs,17460,343,,
9am  7pm,17416,344,,
hair,17136,345,,
catering,17058,346,,
welcome to,17051,347,,
wholesale,16984,348,,
trespassing,16934,349,,
2 av,16929,350,,
station,16926,351,,
pepsi,16917,352,,
rite,16904,353,,
burger,16886,354,,
kings,16868,355,,
plow,16845,356,,
self storage,16820,357,,
clean air hybrid electric bus,16802,358,,
turn,16760,359,1,
realty,16678,360,,
cubesmart,16624,361,,
sales,16616,362,,
cat,16554,363,,
access,16515,364,,
raise,16466,365,,
thank you,16434,366,,
allstate,16423,367,,
place,16378,368,,
plaza,16363,369,,
over,16311,370,,
business,16085,371,,
royal,16083,372,,
acars,16049,373,,
right turns,16011,374,1,
except local,16007,375,,
thermo king,16004,376,,
american,15946,377,,
retail space,15881,378,,
plumbing,15800,379,,
corona,15696,380,,
farmacia,15660,381,,
van wyck expwy,15619,382,,
we deliver,15608,383,,
930am  11am,15595,384,1,
not,15583,385,,
fines,15575,386,,
tires,15553,387,,
no stand,15549,388,,
family,15517,389,,
air conditioner,15502,390,,
shoes,15497,391,,
liquor,15496,392,,
supplies,15456,393,,
7am  7pm,15416,394,,
rfk br,15356,395,,
outlet,15328,396,,
more,15286,397,,
www,15281,398,,
rite aid,15246,399,,
we accept,15243,400,,
12 mile,15218,401,,
wednesday,15160,402,,
diner,15093,403,,
bikes,14993,404,,
except,14982,405,,
eleven,14926,406,,
chinese,14914,407,,
no parkin,14880,408,,
no standin,14860,409,,
are,14846,410,,
½2 mile,14836,411,,
union,14786,412,,
worldwide services,14711,413,,
con,14674,414,,
mount,14623,415,,
town,14586,416,,
pizzeria,14376,417,,
optical,14358,418,,
att,14345,419,,
department,14252,420,,
milea,14201,421,,
sabrett,14194,422,,
day,14179,423,,
united,14164,424,,
5 av,14123,425,,
plus,14116,426,,
laundry,14100,427,,
10 bills,14094,428,,
inspection,14080,429,,
schoo,13900,430,,
air,13823,431,,
parkin,13779,432,,
mile,13733,433,,
injured,13726,434,,
halal,13646,435,,
8am  6pm,13598,436,,
sprinklers,13579,437,,
big,13564,438,,
fed,13552,439,,
lottery,13540,440,,
no standi,13526,441,,
morgan,13424,442,,
wed,13421,443,,
parts,13370,444,,
gas,13369,445,,
kennedy,13363,446,,
now open,13328,447,,
jewelry,13244,448,,
oil change,13242,449,,
good,13147,450,,
with,13142,451,,
enterprise,13132,452,,
repairs,13115,453,,
northern,13085,454,,
sinai,13061,455,,
friedrich,13045,456,,
main,13028,457,,
sunday,12944,458,,
next left,12932,459,,
